===================================================================================
user name: toto
game name: CartPole-v0
number of simulations: 1
number of epochs: 300
max score: 200
===================================================================================
types array: ['in', 'mlp', 'out']
weights array: [-1, 0.18636298764849027, -1]
rewards array: [-1, 0.06957097548475873, -1]
punishs array: [-1, -0.1560650012178876, -1]
inner sizes_array: [[], [34, 1], []]
links array: [[1], [2], []]
===================================================================================
rl_gamma: 0.6
rl_epsilon: 0.1
was_loaded: False
===================================================================================
simulation: 0, epoch: 0, score: 200
simulation: 0, epoch: 1, score: 194
simulation: 0, epoch: 2, score: 200
simulation: 0, epoch: 3, score: 200
simulation: 0, epoch: 4, score: 159
simulation: 0, epoch: 5, score: 67
simulation: 0, epoch: 6, score: 33
simulation: 0, epoch: 7, score: 29
simulation: 0, epoch: 8, score: 200
simulation: 0, epoch: 9, score: 200
simulation: 0, epoch: 10, score: 200
simulation: 0, epoch: 11, score: 200
simulation: 0, epoch: 12, score: 200
simulation: 0, epoch: 13, score: 200
simulation: 0, epoch: 14, score: 200
simulation: 0, epoch: 15, score: 200
simulation: 0, epoch: 16, score: 200
simulation: 0, epoch: 17, score: 200
simulation: 0, epoch: 18, score: 200
simulation: 0, epoch: 19, score: 200
simulation: 0, epoch: 20, score: 200
simulation: 0, epoch: 21, score: 200
simulation: 0, epoch: 22, score: 200
simulation: 0, epoch: 23, score: 200
simulation: 0, epoch: 24, score: 200
simulation: 0, epoch: 25, score: 186
simulation: 0, epoch: 26, score: 117
simulation: 0, epoch: 27, score: 126
simulation: 0, epoch: 28, score: 140
simulation: 0, epoch: 29, score: 152
simulation: 0, epoch: 30, score: 136
simulation: 0, epoch: 31, score: 117
simulation: 0, epoch: 32, score: 55
simulation: 0, epoch: 33, score: 53
simulation: 0, epoch: 34, score: 34
simulation: 0, epoch: 35, score: 36
simulation: 0, epoch: 36, score: 49
simulation: 0, epoch: 37, score: 200
simulation: 0, epoch: 38, score: 196
simulation: 0, epoch: 39, score: 171
simulation: 0, epoch: 40, score: 178
simulation: 0, epoch: 41, score: 185
simulation: 0, epoch: 42, score: 200
simulation: 0, epoch: 43, score: 200
simulation: 0, epoch: 44, score: 200
simulation: 0, epoch: 45, score: 197
simulation: 0, epoch: 46, score: 200
simulation: 0, epoch: 47, score: 200
simulation: 0, epoch: 48, score: 200
simulation: 0, epoch: 49, score: 200
simulation: 0, epoch: 50, score: 200
simulation: 0, epoch: 51, score: 200
simulation: 0, epoch: 52, score: 200
simulation: 0, epoch: 53, score: 200
simulation: 0, epoch: 54, score: 200
simulation: 0, epoch: 55, score: 200
simulation: 0, epoch: 56, score: 195
simulation: 0, epoch: 57, score: 200
simulation: 0, epoch: 58, score: 114
simulation: 0, epoch: 59, score: 111
simulation: 0, epoch: 60, score: 39
simulation: 0, epoch: 61, score: 35
simulation: 0, epoch: 62, score: 95
simulation: 0, epoch: 63, score: 127
simulation: 0, epoch: 64, score: 90
simulation: 0, epoch: 65, score: 200
simulation: 0, epoch: 66, score: 200
simulation: 0, epoch: 67, score: 200
simulation: 0, epoch: 68, score: 200
simulation: 0, epoch: 69, score: 200
simulation: 0, epoch: 70, score: 200
simulation: 0, epoch: 71, score: 200
simulation: 0, epoch: 72, score: 200
simulation: 0, epoch: 73, score: 200
simulation: 0, epoch: 74, score: 200
simulation: 0, epoch: 75, score: 200
simulation: 0, epoch: 76, score: 200
simulation: 0, epoch: 77, score: 200
simulation: 0, epoch: 78, score: 200
simulation: 0, epoch: 79, score: 195
simulation: 0, epoch: 80, score: 200
simulation: 0, epoch: 81, score: 200
simulation: 0, epoch: 82, score: 200
simulation: 0, epoch: 83, score: 200
simulation: 0, epoch: 84, score: 200
simulation: 0, epoch: 85, score: 200
simulation: 0, epoch: 86, score: 200
simulation: 0, epoch: 87, score: 200
simulation: 0, epoch: 88, score: 200
simulation: 0, epoch: 89, score: 200
simulation: 0, epoch: 90, score: 200
simulation: 0, epoch: 91, score: 200
simulation: 0, epoch: 92, score: 200
simulation: 0, epoch: 93, score: 200
simulation: 0, epoch: 94, score: 200
simulation: 0, epoch: 95, score: 200
simulation: 0, epoch: 96, score: 200
simulation: 0, epoch: 97, score: 200
simulation: 0, epoch: 98, score: 200
simulation: 0, epoch: 99, score: 200
simulation: 0, epoch: 100, score: 200
simulation: 0, epoch: 101, score: 200
simulation: 0, epoch: 102, score: 200
simulation: 0, epoch: 103, score: 200
simulation: 0, epoch: 104, score: 200
simulation: 0, epoch: 105, score: 200
simulation: 0, epoch: 106, score: 200
simulation: 0, epoch: 107, score: 200
simulation: 0, epoch: 108, score: 200
simulation: 0, epoch: 109, score: 200
simulation: 0, epoch: 110, score: 200
simulation: 0, epoch: 111, score: 200
simulation: 0, epoch: 112, score: 200
simulation: 0, epoch: 113, score: 200
simulation: 0, epoch: 114, score: 200
simulation: 0, epoch: 115, score: 200
simulation: 0, epoch: 116, score: 200
simulation: 0, epoch: 117, score: 200
simulation: 0, epoch: 118, score: 200
simulation: 0, epoch: 119, score: 200
simulation: 0, epoch: 120, score: 200
simulation: 0, epoch: 121, score: 200
simulation: 0, epoch: 122, score: 200
simulation: 0, epoch: 123, score: 200
simulation: 0, epoch: 124, score: 200
simulation: 0, epoch: 125, score: 200
simulation: 0, epoch: 126, score: 200
simulation: 0, epoch: 127, score: 200
simulation: 0, epoch: 128, score: 200
simulation: 0, epoch: 129, score: 200
simulation: 0, epoch: 130, score: 200
simulation: 0, epoch: 131, score: 200
simulation: 0, epoch: 132, score: 200
simulation: 0, epoch: 133, score: 200
simulation: 0, epoch: 134, score: 200
simulation: 0, epoch: 135, score: 200
simulation: 0, epoch: 136, score: 200
simulation: 0, epoch: 137, score: 200
simulation: 0, epoch: 138, score: 200
simulation: 0, epoch: 139, score: 200
simulation: 0, epoch: 140, score: 200
simulation: 0, epoch: 141, score: 200
simulation: 0, epoch: 142, score: 200
simulation: 0, epoch: 143, score: 200
simulation: 0, epoch: 144, score: 200
simulation: 0, epoch: 145, score: 200
simulation: 0, epoch: 146, score: 200
simulation: 0, epoch: 147, score: 200
simulation: 0, epoch: 148, score: 200
simulation: 0, epoch: 149, score: 200
simulation: 0, epoch: 150, score: 200
simulation: 0, epoch: 151, score: 200
simulation: 0, epoch: 152, score: 200
simulation: 0, epoch: 153, score: 200
simulation: 0, epoch: 154, score: 200
simulation: 0, epoch: 155, score: 200
simulation: 0, epoch: 156, score: 200
simulation: 0, epoch: 157, score: 200
simulation: 0, epoch: 158, score: 200
simulation: 0, epoch: 159, score: 200
simulation: 0, epoch: 160, score: 200
simulation: 0, epoch: 161, score: 200
simulation: 0, epoch: 162, score: 200
simulation: 0, epoch: 163, score: 200
simulation: 0, epoch: 164, score: 200
simulation: 0, epoch: 165, score: 200
simulation: 0, epoch: 166, score: 200
simulation: 0, epoch: 167, score: 200
simulation: 0, epoch: 168, score: 200
simulation: 0, epoch: 169, score: 200
simulation: 0, epoch: 170, score: 16
simulation: 0, epoch: 171, score: 200
simulation: 0, epoch: 172, score: 200
simulation: 0, epoch: 173, score: 200
simulation: 0, epoch: 174, score: 200
simulation: 0, epoch: 175, score: 200
simulation: 0, epoch: 176, score: 200
simulation: 0, epoch: 177, score: 200
simulation: 0, epoch: 178, score: 200
simulation: 0, epoch: 179, score: 200
simulation: 0, epoch: 180, score: 200
simulation: 0, epoch: 181, score: 200
simulation: 0, epoch: 182, score: 200
simulation: 0, epoch: 183, score: 200
simulation: 0, epoch: 184, score: 200
simulation: 0, epoch: 185, score: 200
simulation: 0, epoch: 186, score: 200
simulation: 0, epoch: 187, score: 200
simulation: 0, epoch: 188, score: 200
simulation: 0, epoch: 189, score: 200
